t,v,a,k
158.8,122.502,0.0831704,11
158.85,122.506,0.0830958,11
158.9,122.511,0.0830212,11
158.95,122.515,0.0829467,11
159,122.519,0.0828722,11
159.05,122.523,0.0827978,11
159.1,122.527,0.0827235,11
159.15,122.531,0.0826493,11
159.2,122.535,0.0825751,11
159.25,122.54,0.0825009,11
159.3,122.544,0.0824269,11
159.35,122.548,0.0823529,11
159.4,122.552,0.082279,11
159.45,122.556,0.0822051,11
159.5,122.56,0.0821313,11
159.55,122.564,0.0820576,11
159.6,122.568,0.0819839,11
159.65,122.572,0.0819103,11
159.7,122.577,0.0818368,11
159.75,122.581,0.0817633,11
159.8,122.585,0.0816899,11
159.85,122.589,0.0816166,11
159.9,122.593,0.0815433,11
159.95,122.597,0.0814701,11
160,122.601,0.081397,11
160.05,122.605,0.0813239,11
160.1,122.609,0.0812509,11
160.15,122.613,0.081178,11
160.2,122.617,0.0811051,11
160.25,122.621,0.0810323,11
160.3,122.625,0.0809596,11
160.35,122.629,0.0808869,11
160.4,122.634,0.0808143,11
160.45,122.638,0.0807417,11
160.5,122.642,0.0806692,11
160.55,122.646,0.0805968,11
160.6,122.65,0.0805244,11
160.65,122.654,0.0804521,11
160.7,122.658,0.0803799,11
160.75,122.662,0.0803078,11
160.8,122.666,0.0802357,11
160.85,122.67,0.0801636,11
160.9,122.674,0.0800917,11
160.95,122.678,0.0800197,11
161,122.682,0.0799479,11
161.05,122.686,0.0798761,11
161.1,122.69,0.0798044,11
161.15,122.694,0.0797328,11
161.2,122.698,0.0796612,11
161.25,122.702,0.0795897,11
161.3,122.706,0.0795182,11
161.35,122.71,0.0794468,11
161.4,122.714,0.0793755,11
161.45,122.718,0.0793042,11
161.5,122.722,0.079233,11
161.55,122.726,0.0791619,11
161.6,122.729,0.0790908,11
161.65,122.733,0.0790198,11
161.7,122.737,0.0789488,11
161.75,122.741,0.0788779,11
161.8,122.745,0.0788071,11
161.85,122.749,0.0787364,11
161.9,122.753,0.0786657,11
161.95,122.757,0.078595,11
162,122.761,0.0785245,11
162.05,122.765,0.078454,11
162.1,122.769,0.0783835,11
162.15,122.773,0.0783131,11
162.2,122.777,0.0782428,11
162.25,122.781,0.0781726,11
162.3,122.785,0.0781024,11
162.35,122.788,0.0780322,11
162.4,122.792,0.0779622,11
162.45,122.796,0.0778922,11
162.5,122.8,0.0778222,11
162.55,122.804,0.0777524,11
162.6,122.808,0.0776825,11
162.65,122.812,0.0776128,11
162.7,122.816,0.0775431,11
162.75,122.82,0.0774735,11
162.8,122.823,0.0774039,11
162.85,122.827,0.0773344,11
162.9,122.831,0.0772649,11
162.95,122.835,0.0771956,11
163,122.839,0.0771262,11
163.05,122.843,0.077057,11
163.1,122.847,0.0769878,11
163.15,122.85,0.0769187,11
163.2,122.854,0.0768496,11
163.25,122.858,0.0767806,11
163.3,122.862,0.0767116,11
163.35,122.866,0.0766427,11
163.4,122.87,0.0765739,11
163.45,122.873,0.0765051,11
163.5,122.877,0.0764364,11
163.55,122.881,0.0763678,11
163.6,122.885,0.0762992,11
163.65,122.889,0.0762307,11
163.7,122.893,0.0761622,11
163.75,122.896,0.0760939,11
163.8,122.9,0.0760255,11
163.85,122.904,0.0759572,11
163.9,122.908,0.075889,11
163.95,122.912,0.0758209,11
164,122.915,0.0757528,11
164.05,122.919,0.0756848,11
164.1,122.923,0.0756168,11
164.15,122.927,0.0755489,11
164.2,122.93,0.075481,11
164.25,122.934,0.0754132,11
164.3,122.938,0.0753455,11
164.35,122.942,0.0752778,11
164.4,122.946,0.0752102,11
164.45,122.949,0.0751427,11
164.5,122.953,0.0750752,11
164.55,122.957,0.0750078,11
164.6,122.961,0.0749404,11
164.65,122.964,0.0748731,11
164.7,122.968,0.0748059,11
164.75,122.972,0.0747387,11
164.8,122.976,0.0746716,11
164.85,122.979,0.0746045,11
164.9,122.983,0.0745375,11
164.95,122.987,0.0744705,11
165,122.99,0.0744037,11
165.05,122.994,0.0743368,11
165.1,122.998,0.0742701,11
165.15,123.002,0.0742034,11
165.2,123.005,0.0741367,11
165.25,123.009,0.0740701,11
165.3,123.013,0.0740036,11
165.35,123.016,0.0739371,11
165.4,123.02,0.0738707,11
165.45,123.024,0.0738044,11
165.5,123.028,0.0737381,11
165.55,123.031,0.0736719,11
165.6,123.035,0.0736057,11
165.65,123.039,0.0735396,11
165.7,123.042,0.0734735,11
165.75,123.046,0.0734075,11
165.8,123.05,0.0733416,11
165.85,123.053,0.0732757,11
165.9,123.057,0.0732099,11
165.95,123.061,0.0731441,11
166,123.064,0.0730784,11
166.05,123.068,0.0730128,11
166.1,123.072,0.0729472,11
166.15,123.075,0.0728817,11
166.2,123.079,0.0728162,11
166.25,123.082,0.0727508,11
166.3,123.086,0.0726855,11
166.35,123.09,0.0726202,11
166.4,123.093,0.072555,11
166.45,123.097,0.0724898,11
166.5,123.101,0.0724247,11
166.55,123.104,0.0723596,11
166.6,123.108,0.0722946,11
166.65,123.111,0.0722297,11
166.7,123.115,0.0721648,11
166.75,123.119,0.0721,11
166.8,123.122,0.0720352,11
166.85,123.126,0.0719705,11
166.9,123.13,0.0719058,11
166.95,123.133,0.0718413,11
167,123.137,0.0717767,11
167.05,123.14,0.0717122,11
167.1,123.144,0.0716478,11
167.15,123.147,0.0715835,11
167.2,123.151,0.0715192,11
167.25,123.155,0.0714549,11
167.3,123.158,0.0713907,11
167.35,123.162,0.0713266,11
167.4,123.165,0.0712625,11
167.45,123.169,0.0711985,11
167.5,123.172,0.0711345,11
167.55,123.176,0.0710706,11
167.6,123.18,0.0710068,11
167.65,123.183,0.070943,11
167.7,123.187,0.0708793,11
167.75,123.19,0.0708156,11
167.8,123.194,0.070752,11
167.85,123.197,0.0706884,11
167.9,123.201,0.0706249,11
167.95,123.204,0.0705615,11
168,123.208,0.0704981,11
168.05,123.211,0.0704347,11
168.1,123.215,0.0703715,11
168.15,123.218,0.0703082,11
168.2,123.222,0.0702451,11
168.25,123.225,0.070182,11
168.3,123.229,0.0701189,11
168.35,123.232,0.0700559,11
168.4,123.236,0.069993,11
168.45,123.239,0.0699301,11
168.5,123.243,0.0698673,11
168.55,123.246,0.0698045,11
168.6,123.25,0.0697418,11
168.65,123.253,0.0696791,11
168.7,123.257,0.0696165,11
168.75,123.26,0.069554,11
168.8,123.264,0.0694915,11
168.85,123.267,0.0694291,11
168.9,123.271,0.0693667,11
168.95,123.274,0.0693044,11
169,123.278,0.0692421,11
169.05,123.281,0.0691799,11
169.1,123.285,0.0691177,11
169.15,123.288,0.0690556,11
169.2,123.292,0.0689936,11
169.25,123.295,0.0689316,11
169.3,123.298,0.0688697,11
169.35,123.302,0.0688078,11
169.4,123.305,0.068746,11
169.45,123.309,0.0686842,11
169.5,123.312,0.0686225,11
169.55,123.316,0.0685608,11
169.6,123.319,0.0684992,11
169.65,123.323,0.0684377,11
169.7,123.326,0.0683762,11
169.75,123.329,0.0683147,11
169.8,123.333,0.0682534,11
169.85,123.336,0.068192,11
169.9,123.34,0.0681308,11
169.95,123.343,0.0680695,11
170,123.346,0.0680084,11
170.05,123.35,0.0679473,11
170.1,123.353,0.0678862,11
170.15,123.357,0.0678252,11
170.2,123.36,0.0677643,11
170.25,123.363,0.0677034,11
170.3,123.367,0.0676426,11
170.35,123.37,0.0675818,11
170.4,123.374,0.067521,11
170.45,123.377,0.0674604,11
170.5,123.38,0.0673998,11
170.55,123.384,0.0673392,11
170.6,123.387,0.0672787,11
170.65,123.39,0.0672182,11
170.7,123.394,0.0671578,11
170.75,123.397,0.0670975,11
170.8,123.4,0.0670372,11
170.85,123.404,0.0669769,11
170.9,123.407,0.0669168,11
170.95,123.411,0.0668566,11
171,123.414,0.0667966,11
171.05,123.417,0.0667365,11
171.1,123.421,0.0666766,11
171.15,123.424,0.0666166,11
171.2,123.427,0.0665568,11
171.25,123.431,0.066497,11
171.3,123.434,0.0664372,11
171.35,123.437,0.0663775,11
171.4,123.44,0.0663179,11
171.45,123.444,0.0662583,11
171.5,123.447,0.0661987,11
171.55,123.45,0.0661392,11
171.6,123.454,0.0660798,11
171.65,123.457,0.0660204,11
171.7,123.46,0.0659611,11
171.75,123.464,0.0659018,11
171.8,123.467,0.0658426,11
171.85,123.47,0.0657834,11
171.9,123.474,0.0657243,11
171.95,123.477,0.0656652,11
172,123.48,0.0656062,11
172.05,123.483,0.0655473,11
172.1,123.487,0.0654884,11
172.15,123.49,0.0654295,11
172.2,123.493,0.0653707,11
172.25,123.496,0.065312,11
172.3,123.5,0.0652533,11
172.35,123.503,0.0651946,11
172.4,123.506,0.065136,11
172.45,123.509,0.0650775,11
172.5,123.513,0.065019,11
172.55,123.516,0.0649606,11
172.6,123.519,0.0649022,11
172.65,123.522,0.0648439,11
172.7,123.526,0.0647856,11
172.75,123.529,0.0647274,11
172.8,123.532,0.0646692,11
172.85,123.535,0.0646111,11
172.9,123.539,0.064553,11
172.95,123.542,0.064495,11
173,123.545,0.064437,11
173.05,123.548,0.0643791,11
173.1,123.552,0.0643212,11
173.15,123.555,0.0642634,11
173.2,123.558,0.0642057,11
173.25,123.561,0.064148,11
173.3,123.564,0.0640903,11
173.35,123.568,0.0640327,11
173.4,123.571,0.0639752,11
173.45,123.574,0.0639177,11
173.5,123.577,0.0638602,11
173.55,123.58,0.0638028,11
173.6,123.584,0.0637455,11
173.65,123.587,0.0636882,11
173.7,123.59,0.0636309,11
173.75,123.593,0.0635737,11
173.8,123.596,0.0635166,11
173.85,123.6,0.0634595,11
173.9,123.603,0.0634025,11
173.95,123.606,0.0633455,11
174,123.609,0.0632886,11
174.05,123.612,0.0632317,11
174.1,123.615,0.0631748,11
174.15,123.618,0.0631181,11
174.2,123.622,0.0630613,11
174.25,123.625,0.0630046,11
174.3,123.628,0.062948,11
174.35,123.631,0.0628914,11
174.4,123.634,0.0628349,11
174.45,123.637,0.0627784,11
174.5,123.641,0.062722,11
174.55,123.644,0.0626656,11
174.6,123.647,0.0626093,11
174.65,123.65,0.062553,11
174.7,123.653,0.0624968,11
174.75,123.656,0.0624406,11
174.8,123.659,0.0623845,11
174.85,123.662,0.0623284,11
174.9,123.666,0.0622724,11
174.95,123.669,0.0622164,11
175,123.672,0.0621605,11
175.05,123.675,0.0621046,11
175.1,123.678,0.0620488,11
175.15,123.681,0.061993,11
175.2,123.684,0.0619373,11
175.25,123.687,0.0618816,11
175.3,123.69,0.061826,11
175.35,123.693,0.0617704,11
175.4,123.697,0.0617149,11
175.45,123.7,0.0616594,11
175.5,123.703,0.061604,11
175.55,123.706,0.0615486,11
175.6,123.709,0.0614933,11
175.65,123.712,0.061438,11
175.7,123.715,0.0613828,11
175.75,123.718,0.0613276,11
175.8,123.721,0.0612724,11
175.85,123.724,0.0612174,11
175.9,123.727,0.0611623,11
175.95,123.73,0.0611073,11
176,123.733,0.0610524,11
176.05,123.736,0.0609975,11
176.1,123.739,0.0609427,11
176.15,123.743,0.0608879,11
176.2,123.746,0.0608332,11
176.25,123.749,0.0607785,11
176.3,123.752,0.0607239,11
176.35,123.755,0.0606693,11
176.4,123.758,0.0606147,11
176.45,123.761,0.0605602,11
176.5,123.764,0.0605058,11
176.55,123.767,0.0604514,11
176.6,123.77,0.060397,11
176.65,123.773,0.0603428,11
176.7,123.776,0.0602885,11
176.75,123.779,0.0602343,11
176.8,123.782,0.0601802,11
176.85,123.785,0.060126,11
176.9,123.788,0.060072,11
176.95,123.791,0.060018,11
177,123.794,0.059964,11
177.05,123.797,0.0599101,11
177.1,123.8,0.0598563,11
177.15,123.803,0.0598024,11
177.2,123.806,0.0597487,11
177.25,123.809,0.059695,11
177.3,123.812,0.0596413,11
177.35,123.815,0.0595877,11
177.4,123.818,0.0595341,11
177.45,123.821,0.0594806,11
177.5,123.824,0.0594271,11
177.55,123.827,0.0593737,11
177.6,123.83,0.0593203,11
177.65,123.833,0.059267,11
177.7,123.836,0.0592137,11
177.75,123.839,0.0591604,11
177.8,123.842,0.0591073,11
177.85,123.845,0.0590541,11
177.9,123.847,0.059001,11
177.95,123.85,0.058948,11
178,123.853,0.058895,11
178.05,123.856,0.058842,11
178.1,123.859,0.0587891,11
178.15,123.862,0.0587363,11
178.2,123.865,0.0586834,11
178.25,123.868,0.0586307,11
178.3,123.871,0.058578,11
178.35,123.874,0.0585253,11
178.4,123.877,0.0584727,11
178.45,123.88,0.0584201,11
178.5,123.883,0.0583676,11
178.55,123.886,0.0583151,11
178.6,123.889,0.0582627,11
178.65,123.891,0.0582103,11
178.7,123.894,0.0581579,11
178.75,123.897,0.0581057,11
178.8,123.9,0.0580534,11
178.85,123.903,0.0580012,11
178.9,123.906,0.0579491,11
178.95,123.909,0.057897,11
179,123.912,0.0578449,11
179.05,123.915,0.0577929,11
179.1,123.918,0.0577409,11
179.15,123.92,0.057689,11
179.2,123.923,0.0576371,11
179.25,123.926,0.0575853,11
179.3,123.929,0.0575335,11
179.35,123.932,0.0574818,11
179.4,123.935,0.0574301,11
179.45,123.938,0.0573785,11
179.5,123.941,0.0573269,11
179.55,123.943,0.0572753,11
179.6,123.946,0.0572238,11
179.65,123.949,0.0571724,11
179.7,123.952,0.057121,11
179.75,123.955,0.0570696,11
179.8,123.958,0.0570183,11
179.85,123.961,0.056967,11
179.9,123.963,0.0569158,11
179.95,123.966,0.0568646,11
180,123.969,0.0568135,11
180.05,123.972,0.0567624,11
180.1,123.975,0.0567113,11
180.15,123.978,0.0566603,11
180.2,123.98,0.0566094,11
180.25,123.983,0.0565585,11
180.3,123.986,0.0565076,11
180.35,123.989,0.0564568,11
180.4,123.992,0.056406,11
180.45,123.995,0.0563553,11
180.5,123.997,0.0563046,11
180.55,124,0.056254,11
180.6,124.003,0.0562034,11
180.65,124.006,0.0561529,11
180.7,124.009,0.0561024,11
180.75,124.011,0.0560519,11
180.8,124.014,0.0560015,11
180.85,124.017,0.0559512,11
180.9,124.02,0.0559009,11
180.95,124.023,0.0558506,11
181,124.025,0.0558004,11
181.05,124.028,0.0557502,11
181.1,124.031,0.0557001,11
181.15,124.034,0.05565,11
181.2,124.037,0.0555999,11
181.25,124.039,0.0555499,11
181.3,124.042,0.0555,11
181.35,124.045,0.05545,11
181.4,124.048,0.0554002,11
181.45,124.05,0.0553504,11
181.5,124.053,0.0553006,11
181.55,124.056,0.0552509,11
181.6,124.059,0.0552012,11
181.65,124.062,0.0551515,11
181.7,124.064,0.0551019,11
181.75,124.067,0.0550524,11
181.8,124.07,0.0550029,11
181.85,124.073,0.0549534,11
181.9,124.075,0.054904,11
181.95,124.078,0.0548546,11
182,124.081,0.0548053,11
182.05,124.084,0.054756,11
182.1,124.086,0.0547067,11
182.15,124.089,0.0546575,11
182.2,124.092,0.0546084,11
182.25,124.094,0.0545593,11
182.3,124.097,0.0545102,11
182.35,124.1,0.0544612,11
182.4,124.103,0.0544122,11
182.45,124.105,0.0543633,11
182.5,124.108,0.0543144,11
182.55,124.111,0.0542655,11
182.6,124.114,0.0542167,11
182.65,124.116,0.0541679,11
182.7,124.119,0.0541192,11
182.75,124.122,0.0540706,11
182.8,124.124,0.0540219,11
182.85,124.127,0.0539733,11
182.9,124.13,0.0539248,11
182.95,124.132,0.0538763,11
183,124.135,0.0538278,11
183.05,124.138,0.0537794,11
183.1,124.141,0.0537311,11
183.15,124.143,0.0536827,11
183.2,124.146,0.0536344,11
183.25,124.149,0.0535862,11
183.3,124.151,0.053538,11
183.35,124.154,0.0534899,11
183.4,124.157,0.0534417,11
183.45,124.159,0.0533937,11
183.5,124.162,0.0533457,11
183.55,124.165,0.0532977,11
183.6,124.167,0.0532497,11
183.65,124.17,0.0532018,11
183.7,124.173,0.053154,11
183.75,124.175,0.0531062,11
183.8,124.178,0.0530584,11
183.85,124.181,0.0530107,11
183.9,124.183,0.052963,11
183.95,124.186,0.0529154,11
184,124.189,0.0528678,11
184.05,124.191,0.0528202,11
184.1,124.194,0.0527727,11
184.15,124.196,0.0527253,11
184.2,124.199,0.0526778,11
184.25,124.202,0.0526304,11
184.3,124.204,0.0525831,11
184.35,124.207,0.0525358,11
184.4,124.21,0.0524886,11
184.45,124.212,0.0524413,11
184.5,124.215,0.0523942,11
184.55,124.217,0.052347,11
184.6,124.22,0.0523,11
184.65,124.223,0.0522529,11
184.7,124.225,0.0522059,11
184.75,124.228,0.052159,11
184.8,124.231,0.052112,11
184.85,124.233,0.0520652,11
184.9,124.236,0.0520183,11
184.95,124.238,0.0519715,11
185,124.241,0.0519248,11
185.05,124.244,0.0518781,11
185.1,124.246,0.0518314,11
185.15,124.249,0.0517848,11
185.2,124.251,0.0517382,11
185.25,124.254,0.0516917,11
185.3,124.256,0.0516452,11
185.35,124.259,0.0515987,11
185.4,124.262,0.0515523,11
185.45,124.264,0.0515059,11
185.5,124.267,0.0514596,11
185.55,124.269,0.0514133,11
185.6,124.272,0.0513671,11
185.65,124.274,0.0513208,11
185.7,124.277,0.0512747,11
185.75,124.28,0.0512286,11
185.8,124.282,0.0511825,11
185.85,124.285,0.0511364,11
185.9,124.287,0.0510904,11
185.95,124.29,0.0510445,11
186,124.292,0.0509986,11
186.05,124.295,0.0509527,11
186.1,124.297,0.0509068,11
186.15,124.3,0.050861,11
186.2,124.303,0.0508153,11
186.25,124.305,0.0507696,11
186.3,124.308,0.0507239,11
186.35,124.31,0.0506783,11
186.4,124.313,0.0506327,11
186.45,124.315,0.0505871,11
186.5,124.318,0.0505416,11
186.55,124.32,0.0504962,11
186.6,124.323,0.0504507,11
186.65,124.325,0.0504054,11
186.7,124.328,0.05036,11
186.75,124.33,0.0503147,11
186.8,124.333,0.0502694,11
186.85,124.335,0.0502242,11
186.9,124.338,0.050179,11
186.95,124.34,0.0501339,11
187,124.343,0.0500888,11
187.05,124.345,0.0500437,11
187.1,124.348,0.0499987,11
187.15,124.35,0.0499537,11
187.2,124.353,0.0499088,11
187.25,124.355,0.0498639,11
187.3,124.358,0.049819,11
187.35,124.36,0.0497742,11
187.4,124.363,0.0497294,11
187.45,124.365,0.0496847,11
187.5,124.368,0.04964,11
187.55,124.37,0.0495953,11
187.6,124.373,0.0495507,11
187.65,124.375,0.0495061,11
187.7,124.378,0.0494616,11
187.75,124.38,0.0494171,11
187.8,124.383,0.0493726,11
187.85,124.385,0.0493282,11
187.9,124.388,0.0492838,11
187.95,124.39,0.0492395,11
188,124.393,0.0491952,11
188.05,124.395,0.0491509,11
188.1,124.398,0.0491067,11
188.15,124.4,0.0490625,11
188.2,124.402,0.0490184,11
188.25,124.405,0.0489743,11
188.3,124.407,0.0489302,11
188.35,124.41,0.0488862,11
188.4,124.412,0.0488422,11
188.45,124.415,0.0487983,11
188.5,124.417,0.0487544,11
188.55,124.42,0.0487105,11
188.6,124.422,0.0486667,11
188.65,124.424,0.0486229,11
188.7,124.427,0.0485792,11
188.75,124.429,0.0485354,11
188.8,124.432,0.0484918,11
188.85,124.434,0.0484482,11
188.9,124.437,0.0484046,11
188.95,124.439,0.048361,11
189,124.441,0.0483175,11
189.05,124.444,0.048274,11
189.1,124.446,0.0482306,11
189.15,124.449,0.0481872,11
189.2,124.451,0.0481438,11
189.25,124.453,0.0481005,11
189.3,124.456,0.0480572,11
189.35,124.458,0.048014,11
189.4,124.461,0.0479708,11
189.45,124.463,0.0479276,11
189.5,124.465,0.0478845,11
189.55,124.468,0.0478414,11
189.6,124.47,0.0477984,11
189.65,124.473,0.0477554,11
189.7,124.475,0.0477124,11
189.75,124.477,0.0476695,11
189.8,124.48,0.0476266,11
189.85,124.482,0.0475837,11
189.9,124.485,0.0475409,11
189.95,124.487,0.0474981,11
190,124.489,0.0474554,11
190.05,124.492,0.0474127,11
190.1,124.494,0.04737,11
190.15,124.496,0.0473274,11
190.2,124.499,0.0472848,11
190.25,124.501,0.0472423,11
190.3,124.504,0.0471998,11
190.35,124.506,0.0471573,11
190.4,124.508,0.0471149,11
190.45,124.511,0.0470725,11
190.5,124.513,0.0470301,11
190.55,124.515,0.0469878,11
190.6,124.518,0.0469455,11
190.65,124.52,0.0469033,11
190.7,124.522,0.0468611,11
190.75,124.525,0.0468189,11
190.8,124.527,0.0467768,11
190.85,124.529,0.0467347,11
190.9,124.532,0.0466926,11
190.95,124.534,0.0466506,11
191,124.536,0.0466086,11
191.05,124.539,0.0465667,11
191.1,124.541,0.0465248,11
191.15,124.543,0.0464829,11
191.2,124.546,0.0464411,11
191.25,124.548,0.0463993,11
191.3,124.55,0.0463576,11
191.35,124.553,0.0463159,11
191.4,124.555,0.0462742,11
191.45,124.557,0.0462325,11
191.5,124.56,0.0461909,11
191.55,124.562,0.0461494,11
191.6,124.564,0.0461078,11
191.65,124.566,0.0460663,11
191.7,124.569,0.0460249,11
191.75,124.571,0.0459835,11
191.8,124.573,0.0459421,11
191.85,124.576,0.0459008,11
191.9,124.578,0.0458594,11
191.95,124.58,0.0458182,11
192,124.583,0.0457769,11
192.05,124.585,0.0457358,11
192.1,124.587,0.0456946,11
192.15,124.589,0.0456535,11
192.2,124.592,0.0456124,11
192.25,124.594,0.0455713,11
192.3,124.596,0.0455303,11
192.35,124.599,0.0454894,11
192.4,124.601,0.0454484,11
192.45,124.603,0.0454075,11
192.5,124.605,0.0453667,11
192.55,124.608,0.0453258,11
192.6,124.61,0.045285,11
192.65,124.612,0.0452443,11
192.7,124.614,0.0452036,11
192.75,124.617,0.0451629,11
192.8,124.619,0.0451223,11
192.85,124.621,0.0450816,11
192.9,124.623,0.0450411,11
192.95,124.626,0.0450005,11
193,124.628,0.04496,11
193.05,124.63,0.0449196,11
193.1,124.632,0.0448792,11
193.15,124.635,0.0448388,11
193.2,124.637,0.0447984,11
193.25,124.639,0.0447581,11
193.3,124.641,0.0447178,11
193.35,124.644,0.0446776,11
193.4,124.646,0.0446374,11
193.45,124.648,0.0445972,11
193.5,124.65,0.0445571,11
193.55,124.653,0.044517,11
193.6,124.655,0.0444769,11
193.65,124.657,0.0444369,11
193.7,124.659,0.0443969,11
193.75,124.661,0.0443569,11
193.8,124.664,0.044317,11
193.85,124.666,0.0442771,11
193.9,124.668,0.0442373,11
193.95,124.67,0.0441975,11
194,124.673,0.0441577,11
194.05,124.675,0.0441179,11
194.1,124.677,0.0440782,11
194.15,124.679,0.0440386,11
194.2,124.681,0.0439989,11
194.25,124.684,0.0439593,11
194.3,124.686,0.0439198,11
194.35,124.688,0.0438802,11
194.4,124.69,0.0438407,11
194.45,124.692,0.0438013,11
194.5,124.695,0.0437619,11
194.55,124.697,0.0437225,11
194.6,124.699,0.0436831,11
194.65,124.701,0.0436438,11
194.7,124.703,0.0436045,11
194.75,124.705,0.0435653,11
194.8,124.708,0.0435261,11
194.85,124.71,0.0434869,11
194.9,124.712,0.0434478,11
194.95,124.714,0.0434087,11
195,124.716,0.0433696,11
195.05,124.718,0.0433306,11
195.1,124.721,0.0432916,11
195.15,124.723,0.0432526,11
195.2,124.725,0.0432137,11
195.25,124.727,0.0431748,11
195.3,124.729,0.0431359,11
195.35,124.731,0.0430971,11
195.4,124.734,0.0430583,11
195.45,124.736,0.0430195,11
195.5,124.738,0.0429808,11
195.55,124.74,0.0429421,11
195.6,124.742,0.0429035,11
195.65,124.744,0.0428649,11
195.7,124.747,0.0428263,11
195.75,124.749,0.0427877,11
195.8,124.751,0.0427492,11
195.85,124.753,0.0427107,11
195.9,124.755,0.0426723,11
195.95,124.757,0.0426339,11
196,124.759,0.0425955,11
196.05,124.761,0.0425572,11
196.1,124.764,0.0425189,11
196.15,124.766,0.0424806,11
196.2,124.768,0.0424424,11
196.25,124.77,0.0424042,11
196.3,124.772,0.042366,11
196.35,124.774,0.0423279,11
196.4,124.776,0.0422898,11
196.45,124.778,0.0422517,11
196.5,124.781,0.0422137,11
196.55,124.783,0.0421757,11
196.6,124.785,0.0421377,11
196.65,124.787,0.0420998,11
196.7,124.789,0.0420619,11
196.75,124.791,0.042024,11
196.8,124.793,0.0419862,11
196.85,124.795,0.0419484,11
196.9,124.797,0.0419106,11
196.95,124.799,0.0418729,11
197,124.802,0.0418352,11
197.05,124.804,0.0417976,11
197.1,124.806,0.0417599,11
197.15,124.808,0.0417224,11
197.2,124.81,0.0416848,11
197.25,124.812,0.0416473,11
197.3,124.814,0.0416098,11
197.35,124.816,0.0415723,11
197.4,124.818,0.0415349,11
197.45,124.82,0.0414975,11
197.5,124.822,0.0414602,11
197.55,124.824,0.0414229,11
197.6,124.827,0.0413856,11
197.65,124.829,0.0413483,11
197.7,124.831,0.0413111,11
197.75,124.833,0.0412739,11
197.8,124.835,0.0412368,11
197.85,124.837,0.0411996,11
197.9,124.839,0.0411625,11
197.95,124.841,0.0411255,11
198,124.843,0.0410885,11
198.05,124.845,0.0410515,11
198.1,124.847,0.0410145,11
198.15,124.849,0.0409776,11
198.2,124.851,0.0409407,11
198.25,124.853,0.0409039,11
198.3,124.855,0.040867,11
198.35,124.857,0.0408303,11
198.4,124.859,0.0407935,11
198.45,124.861,0.0407568,11
198.5,124.864,0.0407201,11
198.55,124.866,0.0406834,11
198.6,124.868,0.0406468,11
198.65,124.87,0.0406102,11
198.7,124.872,0.0405737,11
198.75,124.874,0.0405371,11
198.8,124.876,0.0405006,11
198.85,124.878,0.0404642,11
198.9,124.88,0.0404278,11
198.95,124.882,0.0403914,11
199,124.884,0.040355,11
199.05,124.886,0.0403187,11
199.1,124.888,0.0402824,11
199.15,124.89,0.0402461,11
199.2,124.892,0.0402099,11
199.25,124.894,0.0401737,11
199.3,124.896,0.0401375,11
199.35,124.898,0.0401014,11
199.4,124.9,0.0400653,11
199.45,124.902,0.0400292,11
199.5,124.904,0.0399932,11
199.55,124.906,0.0399572,11
199.6,124.908,0.0399212,11
199.65,124.91,0.0398853,11
199.7,124.912,0.0398494,11
199.75,124.914,0.0398135,11
199.8,124.916,0.0397776,11
199.85,124.918,0.0397418,11
199.9,124.92,0.0397061,11
199.95,124.922,0.0396703,11
200,124.924,0.0396346,11
200.05,124.926,0.0395989,11
200.1,124.928,0.0395633,11
200.15,124.93,0.0395276,11
200.2,124.932,0.0394921,11
200.25,124.934,0.0394565,11
200.3,124.936,0.039421,11
200.35,124.938,0.0393855,11
200.4,124.94,0.03935,11
200.45,124.942,0.0393146,11
200.5,124.944,0.0392792,11
200.55,124.945,0.0392439,11
200.6,124.947,0.0392085,11
200.65,124.949,0.0391732,11
200.7,124.951,0.039138,11
200.75,124.953,0.0391027,11
200.8,124.955,0.0390675,11
200.85,124.957,0.0390323,11
200.9,124.959,0.0389972,11
200.95,124.961,0.0389621,11
201,124.963,0.038927,11
201.05,124.965,0.038892,11
201.1,124.967,0.038857,11
201.15,124.969,0.038822,11
201.2,124.971,0.038787,11
201.25,124.973,0.0387521,11
201.3,124.975,0.0387172,11
201.35,124.977,0.0386824,11
201.4,124.979,0.0386475,11
201.45,124.981,0.0386127,11
201.5,124.982,0.038578,11
201.55,124.984,0.0385432,11
201.6,124.986,0.0385085,11
201.65,124.988,0.0384739,11
201.7,124.99,0.0384392,11
201.75,124.992,0.0384046,11
201.8,124.994,0.03837,11
201.85,124.996,0.0383355,11
201.9,124.998,0.038301,11
201.95,125,0.0382665,11
202,125.002,0.038232,11
202.05,125.004,0.0381976,11
202.1,125.006,0.0381632,11
202.15,125.007,0.0381289,11
202.2,125.009,0.0380945,11
202.25,125.011,0.0380602,11
202.3,125.013,0.038026,11
202.35,125.015,0.0379917,11
202.4,125.017,0.0379575,11
202.45,125.019,0.0379233,11
202.5,125.021,0.0378892,11
202.55,125.023,0.0378551,11
202.6,125.025,0.037821,11
202.65,125.026,0.0377869,11
202.7,125.028,0.0377529,11
202.75,125.03,0.0377189,11
202.8,125.032,0.037685,11
202.85,125.034,0.037651,11
202.9,125.036,0.0376171,11
202.95,125.038,0.0375833,11
203,125.04,0.0375494,11
203.05,125.041,0.0375156,11
