t,v,a,k
8.85,36.7604,2.79824,2
8.9,36.9003,2.78981,2
8.95,37.0398,2.7814,2
9,37.1789,2.77299,2
9.05,37.3175,2.76459,2
9.1,37.4557,2.7562,2
9.15,37.5935,2.74783,2
9.2,37.7309,2.73946,2
9.25,37.8679,2.73109,2
9.3,38.0045,2.72274,2
9.35,38.1406,2.7144,2
9.4,38.2763,2.70607,2
9.45,38.4116,2.69774,2
9.5,38.5465,2.68943,2
9.55,38.681,2.68113,2
9.6,38.815,2.67283,2
9.65,38.9487,2.66455,2
9.7,39.0819,2.65627,2
9.75,39.2147,2.64801,2
9.8,39.3471,2.63976,2
9.85,39.4791,2.63151,2
9.9,39.6107,2.62328,2
9.95,39.7418,2.61505,2
10,39.8726,2.60684,2
10.05,40.0029,2.59864,2
10.1,40.1329,2.59045,2
10.15,40.2624,2.58227,2
10.2,40.3915,2.5741,2
10.25,40.5202,2.56594,2
10.3,40.6485,2.55779,2
10.35,40.7764,2.54965,2
10.4,40.9039,2.54152,2
10.45,41.031,2.53341,2
10.5,41.1576,2.5253,2
10.55,41.2839,2.51721,2
10.6,41.4098,2.50913,2
10.65,41.5352,2.50106,2
10.7,41.6603,2.493,2
10.75,41.7849,2.48495,2
10.8,41.9092,2.47691,2
10.85,42.033,2.46889,2
10.9,42.1565,2.46088,2
10.95,42.2795,2.45288,2
11,42.4021,2.44489,2
11.05,42.5244,2.43691,2
11.1,42.6462,2.42895,2
11.15,42.7677,2.42099,2
11.2,42.8887,2.41305,2
11.25,43.0094,2.40512,2
11.3,43.1296,2.39721,2
11.35,43.2495,2.38931,2
11.4,43.369,2.38141,2
11.45,43.488,2.37354,2
11.5,43.6067,2.36567,2
11.55,43.725,2.35782,2
11.6,43.8429,2.34998,2
11.65,43.9604,2.34215,2
11.7,44.0775,2.33433,2
11.75,44.1942,2.32653,2
11.8,44.3105,2.31874,2
11.85,44.4265,2.31096,2
11.9,44.542,2.3032,2
11.95,44.6572,2.29545,2
12,44.7719,2.28771,2
12.05,44.8863,2.27999,2
12.1,45.0003,2.27228,2
12.15,45.1139,2.26458,2
12.2,45.2272,2.25876,3
12.25,45.3401,2.25422,3
12.3,45.4528,2.24968,3
12.35,45.5653,2.24514,3
12.4,45.6776,2.24061,3
12.45,45.7896,2.23609,3
12.5,45.9014,2.23157,3
12.55,46.013,2.22705,3
12.6,46.1243,2.22254,3
12.65,46.2355,2.21804,3
12.7,46.3464,2.21354,3
12.75,46.457,2.20904,3
12.8,46.5675,2.20455,3
12.85,46.6777,2.20006,3
12.9,46.7877,2.19558,3
12.95,46.8975,2.19111,3
